Argyrosomus regius
Chromis chromis
Diplodus cervinus
Diplodus sargus
Diplodus vulgaris
Empty transect
Epinephelus marginatus
Mycteroperca rubra
Parupeneus forsskali
Pterois miles
Sargocentron rubrum
Thalassoma pavo
