Chromis chromis
Coris julis
Dasyatis pastinaca
Epinephelus costae
Epinephelus marginatus
Epinephelus sp
Mycteroperca rubra
Parupeneus forsskali
Pterois miles
Sargocentron rubrum
Scarus ghobban
Serranus cabrilla
Serranus scriba
Siganus luridus
Siganus rivulatus
Sparisoma cretense
Thalassoma pavo
Torquigener flavimaculosus
