Balistes capriscus
Chromis chromis
Coris julis
Epinephelus costae
Epinephelus marginatus
Epinephelus sp
Muraena helena
Mycteroperca rubra
Pagrus caeruleostictus
Parupeneus forsskali
Sardin sp
Sargocentron rubrum
Scomberomorus commerson
Serranus cabrilla
Serranus scriba
Siganus rivulatus
Symphodus mediterraneus
Symphodus tinca
Taeniurops grabatus
Thalassoma pavo
Torquigener flavimaculosus
