site_id,long,lat
Ashkelon30,34.511,31.681
Ashdod30,34.58,31.78
Achziv10,35.092,33.073
Achziv45,35.073,33.088
Naharia10,35.082,33.032
Naharia25,35.068,33.031
Naharia45,35.0415,33.038
SdotYam10,34.881,32.49
SdotYam25,34.87,32.511
SdotYam45,34.853,32.53
Achziv25,35.092,33.073
Sharon30,34.7889,32.2371
TSY10,34.896,32.55
TSY25,34.884,32.557
TSY45,34.86,32.562
TSY70,34.804,32.559
TSY100,34.786,32.561
