"","FBspecies","a","b","Locality"
"351","Muraena helena","0.0062","2.764","Dubrovnik, Elafiti Archipelago, Mljet and Sveti Andrija islands (Oct 2009-Dec 2010)"
"352","Muraena helena","0.0056","2.776","Dubrovnik, Elafiti Archipelago, Mljet and Sveti Andrija islands (Oct 2009-Dec 2010)"
"353","Muraena helena","0.0027","2.894","northern coast of Tunisia / 2011-2013"
"354","Muraena helena","7e-04","3.229","northern coast of Tunisia / 2011-2013"
"355","Muraena helena","0.0013","3.084","northern coast of Tunisia / 2011-2013"
"356","Scomberomorus commerson","0.013","2.884","Gulf of Thailand"
"357","Scomberomorus commerson","0.011","2.85","Gulf of Aden"
"358","Scomberomorus commerson","0.0106","2.94",NA
"359","Scomberomorus commerson","0.0059","3.07","Queensland (northern stock), 1977-79"
"360","Scomberomorus commerson","0.0099","2.95","Queensland (east-coast stock), 1977-79"
"361","Scomberomorus commerson","0.0079","3","Queensland (northern stock), 1977-79"
"362","Scomberomorus commerson","0.0132","2.89","Queensland (east-coast stock), 1977-79"
"363","Scomberomorus commerson","0.00172","3.31",NA
"364","Scomberomorus commerson","0.0056","2.979","Arabian Gulf"
"365","Scomberomorus commerson","0.00961","2.857",NA
"366","Scomberomorus commerson","0.012","2.812","Red Sea"
"367","Scomberomorus commerson","0.0154","2.814",NA
"368","Scomberomorus commerson","0.0057","3.125","Western region"
"369","Scomberomorus commerson","0.019","2.809",NA
"370","Scomberomorus commerson","0.00501","3.162","Daya Bay / 1985-1986"
"371","Scomberomorus commerson","0.00284","3.22","Pilbara, Western Australia"
"372","Scomberomorus commerson","0.00355","3.17","South Western Australia"
"373","Scomberomorus commerson","0.00732","3.01","Kimberly, Western Australia"
"374","Scomberomorus commerson","0.016","2.802","Southern coast of Karnataka / 1999-2001"
"375","Scomberomorus commerson","0.01617","2.85613",NA
"376","Scomberomorus commerson","0.0119","2.91","Beibu Gulf / 2006-2007"
"377","Scomberomorus commerson","0.00941","2.95","Gulf of Oman and Arabian Sea, 2000-2001"
"378","Scomberomorus commerson","0.0115","2.909","Gulf of Oman and Arabian Sea, 2000-2001"
"379","Scomberomorus commerson","0.01608","2.8","West coast (Gujarat, Goa, Karnataka, Kerala), 1998-2002"
"380","Scomberomorus commerson","0.0092","2.883","Kerala waters / 2016-2017."
"381","Scomberomorus commerson","0.011","2.832","Java Sea, north of Madura Island / 2016-2016"
"382","Scomberomorus commerson","0.00159","3.2019","Western Australia: Gascoyne Coast, 2011-2016."
"383","Scomberomorus commerson","0.00529","3.0242","Western Australia: Statewide, 2011-2016."
"384","Scomberomorus commerson","0.01066","2.8517","Western Australia: North Coast, 2011-2016."
"385","Scomberomorus commerson","0.02918","2.6657","Western Australia: West Coast, 2011-2016."
"386","Scomberomorus commerson","0.0113","2.85","Continental shelf and upper slope / 2008-2011"
"387","Synodus saurus","0.004","3.19","Balearic Islands, 1995-96"
"388","Synodus saurus","0.003","3.32","off Alexandria, 1998"
"389","Synodus saurus","0.02","2.715","Kyclades, 1997-98"
"390","Synodus saurus","0.0073","3.024","Babadillimani Bight (northeastern Mediterranean), 1999-2000"
"391","Synodus saurus","0.0145","3","Beibu Gulf / 2006-2007"
"392","Synodus saurus","0.006","3.064","Zakynthos Island / 2013-2017."
"393","Synodus saurus","0.0031","3.246","Gulf of Tunis / 2016."
"394","Synodus saurus","0.0055","3.1171","GFCM GSA 26; off the coast of Egypt / 2008-2010, 2017-2018."
"395","Acantholabrus palloni","0.0108","3.074","Nazaré to St André, 1997"
